Symbol,Name,LastSale,NetChange,NetChangeDirection,PercentChange,1YrPercentChange
"QQQE","Direxion NASDAQ-100 Equal Weighted Index Shares","50.965","0.2453","up","0.48","8.38"
"QQXT","First Trust NASDAQ-100 Ex-Technology Sector Index Fund","54.87","0.21","up","0.38","4.45"
"QRFT","QRAFT AI-Enhanced U.S. Large Cap ETF","26.65","0.133","up","0.5","5.91"
"QSY","WisdomTree U.S. Quality Shareholder Yield Fund","88.39","-0.1499","down","0.17","1.48"
"QTEC","First Trust NASDAQ-100- Technology Index Fund","90.7456","0.3756","up","0.42","15.18"
"QYLD","Global X NASDAQ-100 Covered Call ETF","22.9831","0.0331","up","0.14","-8.82"
"RBUS","Nationwide Risk-Based U.S. Equity ETF","29.6558","0","unch","0","6.18"
"RCD","Invesco S&P 500 Equal Weight Consumer Discretionary ETF","106.14","0.0772","up","0.07","-0.72"
"RDIV","Invesco Exchange-Traded Fund Trust II Invesco S&P Ultra Divide","38.245","-0.165","down","0.43","-2.24"
"RDVY","First Trust Rising Dividend Achievers ETF","32.32","0","unch","0","2.83"
"REGL","ProShares Trust","59","-0.12","down","0.2","2.21"
"REM","iShares Trust","41.97","-0.16","down","0.38","-7.26"
"RENW","Pickens Morningstar Renewable Energy Response ETF","20.296","0.0857","up","0.42","-21.95"
"RETL","Direxion Daily Retail Bull 3X Shares ETF","24.31","-0.95","down","3.76","-50.33"
"REW","ProShares UltraShort Technology","16.085","-0.135","down","0.83","-26.61"
"REZ","iShares Trust iShares Residential Real Estate ETF","78.42","0.25","up","0.32","20.3"
"RFDA","RiverFront Dynamic US Dividend Advantage ETF","33.0455","0.1855","up","0.56","-1.48"
"RFFC","RiverFront Dynamic US Flex-Cap ETF","33.55","0.0848","up","0.25","-6.68"
"RFG","Invesco S&P Midcap 400 Pure Growth ETF","143.9157","-0.4843","down","0.34","-14.14"
"RFV","Invesco S&P Midcap 400 Pure Value ETF","65.2536","-0.4559","down","0.69","-8.46"
"RGI","Invesco S&P 500 Equal Weight Industrials Portfolio","128.8658","0.4638","up","0.36","1.14"
"RHS","Invesco S&P 500 Equal Weight Consumer Staples ETF","140.4476","0.3623","up","0.26","6.88"
"RNDV","First Trust US Equity Dividend Select ETF","22.39","0","unch","0","0.13"
